score_total,score_pred,residuo,abs_residuo,pct_error
50,50.137203216552734,-0.13720321655273438,0.13720321655273438,0.27440643310546875
33,33.08732223510742,-0.087322235107421875,0.087322235107421875,0.26461283365885413
49,50.137203216552734,-1.1372032165527344,1.1372032165527344,2.3208228909239477
45,45.32319641113281,-0.3231964111328125,0.3231964111328125,0.7182142469618056
46,45.32319641113281,0.6768035888671875,0.6768035888671875,1.471312149711277
39,41.20037078857422,-2.2003707885742188,2.2003707885742188,5.641976380959536
44,41.779911041259766,2.2200889587402344,2.2200889587402344,5.045656724409624
74,73.38914489746094,0.6108551025390625,0.6108551025390625,0.8254798682960304
47,48.51002883911133,-1.5100288391113281,1.5100288391113281,3.212827317258145
30,30.122770309448242,-0.12277030944824219,0.12277030944824219,0.40923436482747394
51,51.29069137573242,-0.2906913757324219,0.2906913757324219,0.5699830896714154
40,40.971893310546875,-0.971893310546875,0.971893310546875,2.4297332763671875
33,33.08732223510742,-0.087322235107421875,0.087322235107421875,0.26461283365885413
43,41.20037078857422,1.7996292114257813,1.7996292114257813,4.185184212618096
27,25.182514190673828,1.8174858093261719,1.8174858093261719,6.731428923430266
20,20.98184585571289,-0.9818458557128906,0.9818458557128906,4.909229278564453
40,40.971893310546875,-0.971893310546875,0.971893310546875,2.4297332763671875
74,73.38914489746094,0.6108551025390625,0.6108551025390625,0.8254798682960304
47,47.013431549072266,-0.013431549072265625,0.013431549072265625,0.028577763983543884
70,69.8425521850586,0.15744781494140625,0.15744781494140625,0.22492544991629462
57,54.83928680419922,2.1607131958007813,2.1607131958007813,3.790724904913651
22,24.10674476623535,-2.1067447662353516,2.1067447662353516,9.576112573797053
46,45.98412322998047,0.01587677001953125,0.01587677001953125,0.03451471743376359
22,22.24099349975586,-0.24099349975585938,0.24099349975585938,1.0954249988902698
58,57.76858139038086,0.23141860961914063,0.23141860961914063,0.39899760279162183
52,50.52783966064453,1.4721603393554688,1.4721603393554688,2.8310775756835938
45,45.32319641113281,-0.3231964111328125,0.3231964111328125,0.7182142469618056
